baseline_len_start,baseline_len_end,smooth_win_gyro,smooth_win_acc,smooth_win_quat,thr_start,thr_end,min_start_run,min_end_run,margin_start,margin_end,acc_weight,gyro_weight,quat_weight,full_mean_iou,full_mean_recall,full_norm_start_err,full_norm_end_err,full_std_start_err_sign,full_std_end_err_sign,cv_score_mean,cv_score_std
12,23,5,2,6,0.03,0.11,10,24,3,3,0.7131782945736435,0.015503875968992248,0.2713178294573644,0.9693053974279522,0.9880991503132504,0.19499999999999998,0.35888888888888887,0.020949675149960906,0.08362541405902403,1.3959982209492359,0.01597529529984928
7,22,7,2,6,0.04,0.11,9,22,4,3,0.7142857142857143,0.028571428571428574,0.2571428571428572,0.9691216415096034,0.9884169238962821,0.20444444444444446,0.3522222222222222,0.010213764617139041,0.08486736201745912,1.3951717958473728,0.019697944168231354
9,22,6,2,6,0.04,0.11,9,24,4,3,0.7246376811594204,0.014492753623188408,0.2608695652173913,0.969143164880999,0.9881645094521184,0.205,0.3522222222222222,0.01440164599646192,0.08773205560253854,1.3948752038856036,0.016359692017465344
6,22,8,2,6,0.04,0.11,9,21,4,3,0.7153284671532846,0.029197080291970802,0.25547445255474455,0.968871315370197,0.9882179367706332,0.21055555555555552,0.3522222222222222,0.008748897637790923,0.08486736201745912,1.3929687440992433,0.019005284593540547
8,21,10,2,6,0.04,0.12,9,22,4,3,0.6993006993006993,0.04195804195804195,0.2587412587412587,0.9691444166561395,0.9868312162969124,0.2061111111111111,0.3566666666666667,0.01021376461713903,0.09600347215943113,1.3924098131009535,0.009610117688682454
14,22,6,2,6,0.03,0.11,9,24,4,3,0.7246376811594204,0.014492753623188408,0.2608695652173913,0.9684757352135346,0.9902105867534304,0.2172222222222222,0.3522222222222222,0.008854098583616236,0.08773205560253854,1.3917687539322592,0.025070662777511406
8,23,5,2,6,0.04,0.11,9,24,4,3,0.7421875,0.0,0.2578125,0.9687488693056651,0.9874929120194648,0.21277777777777776,0.35333333333333333,0.01812167381144456,0.0904413048868139,1.3914112831840106,0.01636886535692702
8,21,7,2,6,0.04,0.11,8,22,4,3,0.7089552238805971,0.0,0.291044776119403,0.9686345886067738,0.9871941783603891,0.21944444444444444,0.3505555555555555,0.024695678634325435,0.09518338375583145,1.389951095623007,0.0158046393391634
9,22,5,2,6,0.03,0.1,9,23,3,3,0.5945945945945946,0.0,0.4054054054054054,0.9680505558129257,0.9871213311311785,0.20388888888888887,0.36500000000000005,0.03163253521219281,0.08447002536512686,1.3896566878249659,0.019123228931879076
8,22,6,2,6,0.04,0.12,9,23,4,3,0.7194244604316546,0.021582733812949638,0.2589928057553956,0.9683433923383976,0.9859085928280904,0.205,0.3627777777777778,0.011138854253201906,0.09533890167628066,1.3895552147019186,0.011950392144885701
9,22,5,2,6,0.03,0.12,11,22,3,3,0.744,0.0,0.256,0.9685135731297869,0.9854755838459511,0.20555555555555557,0.3627777777777778,0.020652922550490137,0.09351503477192885,1.3892989234373576,0.011091132130604255
10,23,5,2,6,0.03,0.11,9,23,4,3,0.5783132530120482,0.0,0.42168674698795183,0.9685406645757196,0.985994035949707,0.19777777777777775,0.3727777777777778,0.009060836905722285,0.0945391681843439,1.388970419478877,0.0077825230195932476
10,23,5,2,6,0.03,0.11,10,23,3,3,0.5930232558139534,0.02325581395348837,0.3837209302325581,0.9686727448777798,0.9854152764824398,0.19666666666666663,0.3744444444444444,0.024758088839063552,0.09934352421003163,1.3885885774339102,0.013729434760005124
18,23,5,3,9,0.03,0.12,13,17,2,3,0.688,0.024,0.288,0.9681604981432875,0.9861563099320056,0.19666666666666668,0.3772222222222222,0.028414915227876505,0.10301324378477617,1.3876876174358244,0.020769797290004388